Company,ActiveBrand,Headquarters,Employees,Founded,LeadExecutive,ParentStockTicker,ParentPublicExposure,PrimarySector,PrimarySubSector,ImmigrationDetentionInvolvement,SupportsPrisonLabor,HarmScore,AnnualRevenuesMn,RevenueFiscalYear,Website,Corrections,ImmigrationDetention,PrisonLabor,Financials,Other ,Rank
Vistra Energy (formerly TCEH),Y,TX,"4,150",2014,Curt Morgan,VST,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Utility/Energy,n/a,n/a,6,"11,809.00",2019,https://www.vistraenergy.com/,"See Luminant Energy, TXU Energy",n/a,n/a,FactSet,n/a,177
Schindler,Y,Switzerland,"60,000",1874,Thomas Oetterli,SCHP-CH,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Construction,n/a,n/a,9,"11,632.20",2019,https://www.schindler.com/,NYS DOCCS Spending,n/a,n/a,FactSet,n/a,178
Atos,Y,France,"100,000",1997,Elie Girard,AEXAY,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Technology,n/a,n/a,9,"11,588.00",2019,https://atos.net/en/industries/telecommunications,https://atos.net/en/convergence-creators/industries/public-safety-security,n/a,n/a,FactSet,https://www.majorcitieschiefs.com/sponsors.php,179
Laboratory Corporation of America (dba LabCorp),Y,NC,"39,000",1978,Adam H Schechter,LH,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Other,Y,n/a,8,"11,554.80",2019,https://www.labcorp.com/,https://www.labcorp.com/hipaa-privacy/hipaa-information,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,FactSet,http://www.dc.state.fl.us/business/contracts/c2311.pdf,180
Xcel Energy,Y,MN,"11,043",1999,Ben Fowke,XEL,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Utility/Energy,n/a,n/a,8,"11,529.00",2019,https://www.xcelenergy.com/,TDCJ Spending,n/a,n/a,FactSet,n/a,181
WW Grainger,Y,IL,"25,700",1927,Donald G. MacPherson,GWW,Tier 1b - Publicly Traded - Other,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,7,"11,486.00",2019,https://www.grainger.com/,FL DOC Spending,n/a,n/a,FactSet,n/a,182
Universal Health Services,Y,PA,"76,600",1979,Alan B. Miller,UHS,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Medical Healthcare,n/a,n/a,13,"11,378.30",2019,http://www.uhsinc.com/,See Professional Probation Services,n/a,n/a,FactSet,n/a,183
Baxter,Y,IL,"47,000",1931,José E. Almeida,BAX,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Medical Healthcare,n/a,n/a,8,"11,362.00",2019,https://www.baxter.com/,OH DRC Spending,n/a,n/a,FactSet,n/a,184
Navistar,Y,IL,"12,300",1831,Troy Clarke,NAV,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Transportation,Prison Transportation,n/a,n/a,12,"11,251.00",2019,http://www.navistar.com/navistar/,https://www.youtube.com/watch?v=QjYsuKyHZa0,n/a,n/a,FactSet,http://correctionsmarketplace.com/,185
Kone,Y,Finland,"57,000",1910,Henrik Ehrnrooth,KNYJY,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Construction & Maintenance,Maintenance Services,n/a,n/a,8,"11,172.00",2019,https://www.kone.us/,California Spending Data - 2018,n/a,n/a,FactSet,n/a,186
Adobe Systems,Y,CA,"21,357",1982,Shantanu Narayen,ADBE,Tier 1b - Publicly Traded - Other,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,7,"11,171.30",2019,https://www.adobe.com/,n/a,https://mijente.net/wp-content/uploads/2018/10/WHO%E2%80%99S-BEHIND-ICE_-The-Tech-and-Data-Companies-Fueling-Deportations-_v1.pdf,n/a,FactSet,n/a,187
Leidos Holdings,Y,VA,"31,000",1969,Roger A. Krone,LDOS,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,11,"11,094.00",2019,https://www.leidos.com/,http://www.ijis.org/?page=Member_List,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,FactSet,https://www.leidos.com/operations-logistics,188
Securitas Security Services,Y,Sweden,"370,000",1934,Magnus Ahlqvist,SECU.B-SE,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Personnel,Third Party Staffing,n/a,n/a,13,"11,045.60",2019,https://www.securitasinc.com/,NYS DOCCS Spending,n/a,n/a,FactSet,n/a,189
First Energy,Y,OH,"15,617",1997,"Charles E. Jones, Jr.",FE,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Utility/Energy,n/a,n/a,6,"11,035.00",2019,https://www.firstenergycorp.com/,OH DRC Spending,n/a,n/a,FactSet,n/a,190
URS Corp,N,CA,"50,000",1951,n/a,ACM,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Construction & Maintenance,Architecture & Engineerging,n/a,n/a,13,"10,990.70",2014,n/a,TDCJ Spending,n/a,n/a,https://www.sec.gov/Archives/edgar/data/102379/000010237914000017/form10-k.htm#is,http://www.aecom.com/press-releases/aecom-to-acquire-urs-corporation-for-us56-31-per-share-in-cash-and-stock/,191
Entergy,Y,LA,"13,504",1913,Leo P. Denault,ETR,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Utility/Energy,n/a,n/a,6,"10,878.70",2019,http://www.entergy.com/,TDCJ Spending,n/a,n/a,FactSet,n/a,192
Sempra Energy,Y,CA,"27,708",1867,Jeffrey W. Martin ,SRE,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Utility/Energy,n/a,n/a,6,"10,829.00",2019,https://www.sempra.com/,See Energy Future Holdings,n/a,n/a,FactSet,n/a,193
Office Depot & OfficeMax,Y,FL,"45,000",1986,Ravi Saligram,ODP,Tier 1b - Publicly Traded - Other,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,7,"10,647.00",2019,https://www.officedepot.com/,FL DOC Spending,n/a,n/a,FactSet,https://www.reuters.com/article/us-officedepot-officemax-results/office-depot-closes-deal-to-buy-officemax-idUSBRE9A418720131105,194
DaVita,Y,CO,"70,800",1999,Javier J. Rodriguez,DVA,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Medical Healthcare,n/a,n/a,10,"10,563.00",2019,https://www.davita.com/,NYS DOCCS Spending,n/a,n/a,FactSet,https://www.sec.gov/Archives/edgar/data/924775/000119312514231212/d736295dex251.htm,195
American Builders & Contractors,Y,WI,"14,220",1982,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Construction & Maintenance,Maintenance Services,n/a,n/a,"n/a,","10,541.90",2018,https://www.abcsupply.com/,FL DOC Spending,n/a,n/a,PrivCo (www.privco.com),n/a,196
Republic Services,Y,AZ,"35,000",1998,Don Slager,RSG,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Maintenance Services,n/a,n/a,9,"10,299.40",2019,https://www.republicservices.com/,TDCJ Spending,n/a,n/a,FactSet,n/a,197
RELX Group,Y,United Kingdom,n/a,1993,Erik Engstorm,RELX,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Y,n/a,7,"10,278.70",2019,https://www.relx.com/,See LexisNexis,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,FactSet,https://www.relx.com/our-business/market-segments/legal,198
Xerox,Y,CT,"35,300",1906,n/a,4901-JP,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Y,n/a,8,"10,265.00",2017,https://www.xerox.com/,https://www.xerox.com/downloads/usa/en/services/brochure/wfa-corrections-records-capability-brief.pdf,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,https://www.sec.gov/Archives/edgar/data/108772/000010877218000012/xrx-123117x10xk.htm#s913C8ADF059354EDB0DF874A7507E8B0,https://www.news.xerox.com/news/FUJIFILM-Holdings-and-Xerox-announce-agreement-to-combine-Fuji-Xerox-Joint-Venture-with-Xerox,199
Sandoz Pharmaceuticals,Y,Germany,,2003,n/a,NVS,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Pharmacy,n/a,n/a,9,"10,100.00",2015,https://www.sandoz.com/,http://ajaproductserviceresource.com/,n/a,n/a,https://www.sandoz.com/about-us/investor-information,https://www.sandoz.com/about-us/who-we-are/sandoz-brand,200
Turner Construction,Y,NY,"5,200",1904,n/a,HOT-DE,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Construction & Maintenance,Construction,n/a,n/a,13,"10,000.00",2018,http://www.turnerconstruction.com/,http://www.turnerconstruction.com/experience/projects/government/justice,n/a,n/a,http://www.turnerconstruction.com/about-us,https://www.wsj.com/articles/SB934854798803724162,201
Henry Schein,Y,NY,"22,000",1932,Stanley M. Bergman,HSIC,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Medical Equipment,n/a,n/a,6,"9,985.80",2019,https://www.henryschein.com/,https://facts.fldfs.com/Search/PurchaseOrderDetails.aspx?AgencyId=700000&PONo=A7D5E6&Tab=1,n/a,n/a,FactSet,n/a,202
Konica Minolta,Y,Japan,"43,979",2003,Shoei Yamana,4902-JP,Tier 1b - Publicly Traded - Other,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,7,"9,846.30",2019,https://www.konicaminolta.com/,OH DRC Spending,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,FactSet,n/a,203
Hertz,Y,FL,"4,900",1965,Kathryn V. Marinello,HTZ,Tier 1b - Publicly Traded - Other,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,7,"9,779.00",2019,https://www.hertz.com,See Hertz Equipment,n/a,n/a,FactSet,n/a,204
Assa Abloy,Y,Sweden,"47,500",1994,Nico Delvaux,ASSA.B-SE,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,14,"9,763.80",2019,https://www.assaabloy.com/,"See Ceco Door, Security Metal, Fleming",n/a,n/a,FactSet,https://www.assaabloy.com/Global/Investors/Annual-Report/2019/EN/Annual%20report%202019.pdf,205
Advance Auto Parts,Y,VA,"74,000",1929,Thomas R. Greco,AAP,Tier 1b - Publicly Traded - Other,Transportation,Agency Transportation,n/a,n/a,7,"9,709.00",2019,https://shop.advanceautoparts.com/,See General Parts Distribution,n/a,n/a,FactSet,https://corp.advanceautoparts.com/about/general.asp,206
G4S,Y,United Kingdom,"540,000",2004,Ashley Almanza,GFS-GB,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Operations & Management,Private Prison Operator,Y,Y,15,"9,548.60",2019,http://www.g4s.us/en,http://www.g4s.com/en/what-we-do/services/care-and-justice,https://www.freedomforimmigrants.org/detention-statistics/,Adult private facility operator,FactSet,http://investigate.afsc.org/company/g4s-plc,207
United Rentals,Y,CT,"18,500",1997,Matthew John Flannery,URI,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Maintenance Services,n/a,n/a,8,"9,351.00",2019,https://www.unitedrentals.com/,California Spending Data - 2018,n/a,n/a,FactSet,n/a,208
Vanguard Group,Y,PA,"16,600",1975,Mortimer (Tim) J. Buckley,n/a,Tier 2 - Investment Firm-Owned,Investor,Equity/Debt Investor,Y,n/a,12,"9,300.00",2018,https://about.vanguard.com/,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,https://news.littlesis.org/2018/06/21/who-is-profiting-from-incarcerating-immigrant-families/,n/a,PrivCo (www.privco.com),n/a,209
Univar,Y,IL,"8,600",1924,David C. Jukes,UNVR,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Maintenance Services,n/a,Y,9,"9,286.90",2019,http://www.univar.com/,TDCJ Spending,n/a,See corrections source,FactSet,n/a,210
SunTrust,Y,GA,"23,785",1985,"William H. Rogers, Jr. ",n/a,Tier 2 - Investment Firm-Owned,Investor,"Construction, Equipment, & Acquisition Financing",Y,n/a,9,"9,213.00",2018,https://www.suntrust.com/,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,https://news.littlesis.org/2018/06/21/who-is-profiting-from-incarcerating-immigrant-families/,n/a,http://s2.q4cdn.com/438932305/files/doc_financials/2018/annual/12.31.18-Form-10-K-REPORT-r1778_FINAL.PDF,n/a,211
Emcor,Y,CT,"32,000",n/a,Anthony Guzzi,EME,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Construction & Maintenance,Construction,n/a,n/a,12,"9,174.60",2019,https://emcorgroup.com/,See Gowan,n/a,n/a,FactSet,n/a,212
Avis,Y,NJ,"31,000",1946,Larry D. De Shon,CAR,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Transportation,Agency Transportation,n/a,n/a,7,"9,172.00",2019,https://www.avis.com/en/home,https://www.avis.com/en/association/B229600,n/a,n/a,FactSet,n/a,213
Calpine,Y,TX,"2,290",1984,Than Hill,n/a,Tier 2 - Investment Firm-Owned,Construction & Maintenance,Utility/Energy,n/a,n/a,6,"9,100.00",2018,http://www.calpine.com,See Champion Energy Services,n/a,n/a,PrivCo (www.privco.com),https://www.bloomberg.com/news/articles/2017-08-18/energy-capital-to-buy-power-generator-calpine-for-5-6-billion,214
Nordea,Y,Sweden,"31,596",2000,Frank Vang Jensen,NDA-SE,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,Equity/Debt Investor,n/a,n/a,8,"9,092.30",2019,https://www.nordea.lu/,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,n/a,n/a,FactSet,n/a,215
GE Capital,Y,CT,"4,000",1932,n/a,GE,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,"Construction, Equipment, & Acquisition Financing",n/a,n/a,7,"9,070.00",2017,https://www.gecapital.com/,NYS DOCCS Spending,n/a,n/a,https://www.sec.gov/Archives/edgar/data/40545/000004054518000014/ge10-k2017.htm#s56991B8FB5245CA0A989297B5CF1F1A9,https://www.sec.gov/Archives/edgar/containers/fix033/835011/000110465908059610/a08-23919_18k.htm,216
Ryder System,Y,FL,"39,600",1933,Robert E. Sanchez,R,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Transportation,Agency Transportation,n/a,Y,7,"8,925.80",2019,https://ryder.com/,NYS DOCCS Spending,n/a,See corrections source,FactSet,n/a,217
FirstGroup,Y,United Kingdom,"100,000",1995,Matthew Gregory,FGP-GB,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Ambulance Services,n/a,n/a,9,"8,870.10",2019,http://www.firstgroupplc.com/,"See First Transit, Greyhound",n/a,n/a,FactSet,http://www.firstgroupplc.com/about-firstgroup.aspx,218
Anixter,Y,IL,"8,900",1957,Robert Eck,AXE,Tier 1b - Publicly Traded - Other,Equipment,Security Technology,n/a,n/a,7,"8,845.60",2019,https://www.anixter.com,https://www.anixter.com/content/dam/anixter/resources/case-studies/anixter-state-prison-upgrades-perimeter-security-with-anixter-case-studies-en.pdf,n/a,n/a,FactSet,n/a,219
McKinsey & Company,Y,NY,"27,000",1926,Kevin Sneader,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Operations & Management,"Procurement, Contracting, & Other Admin Services",n/a,n/a,"n/a,","8,800.00",2018,https://www.mckinsey.com,https://www.nytimes.com/2014/09/09/nyregion/new-york-hires-consultant-to-create-rikers-island-reform-plan.html,n/a,n/a,PrivCo (www.privco.com),https://www.mckinsey.com/industries/public-sector/how-we-help-clients,220
Frontier Communications (formerly Citizens Utilities Company),Y,CT,"22,700",1935,Bernard L. Han,FTR,Tier 1b - Publicly Traded - Other,Data & Information Systems,IT & Communcations Infrastructure & Service,n/a,n/a,9,"8,124.50",2019,https://frontier.com/,TDCJ Spending,n/a,n/a,FactSet,n/a,221
Genworth Financial,Y,VA,"3,500",2003,Thomas Mcinerney,GNW,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,Equity/Debt Investor,n/a,n/a,10,"8,096.00",2019,https://www.opco.com/,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,n/a,n/a,FactSet,n/a,222
SEB Group,Y,Sweden,"15,714",1973,Johan Torgeby,SK-FR,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,Equity/Debt Investor,n/a,n/a,10,"7,978.60",2019,https://sebgroup.lu/,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,n/a,n/a,FactSet,n/a,223
Motorola Solutions,Y,IL,"14,000",1928,Greg Brown,MSI,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Technology,Y,n/a,9,"7,887.00",2019,https://www.motorolasolutions.com/en_us.html,See Spillman Technologies,https://www.theverge.com/2018/6/20/17485238/ice-contract-microsoft-motorola-dell-hp-enterprise-deportation,n/a,FactSet,http://www.ijis.org/?page=sustaining_members,224
Insight Enterprises,Y,AZ,n/a,1988,Kenneth T. Lamneck,NSIT,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,7,"7,731.20",2019,https://www.insight.com/,https://www.insight.com/en_US/solve/vertical/state-local-government/public-safety.html,n/a,n/a,FactSet,n/a,225
Quest Diagnostics,Y,NJ,"45,000",1990,Steve Rusckowski,DGX,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Other,n/a,n/a,10,"7,726.00",2019,https://www.questdiagnostics.com/home.html,See AmeriPath,n/a,n/a,FactSet,https://www.questdiagnostics.com/home/about/brands.html  https://www.marketwatch.com/investing/stock/dgx/financials,226
Veritiv (formerly Xpedx),Y,GA,"8,900",2014,Mary Laschinger,VRTV,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,Y,9,"7,659.40",2019,https://www.veritivcorp.com/,TDCJ Spending,n/a,See corrections source,FactSet,n/a,227
Pon,Y,Netherlands,"12,052",1895,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Transportation,Agency Transportation,n/a,n/a,"n/a,","7,465.10",2015,http://www.pon.com,See Equipment Depot,n/a,n/a,PrivCo (www.privco.com),n/a,228
Blackstone Group,Y,NY,"2,600",1985,Steven A. Schwarzman,BX,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,Equity/Debt Investor,n/a,n/a,9,"7,421.50",2019,https://www.blackstone.com/,See Kronos,n/a,n/a,FactSet,n/a,229
Fortive,Y,WA,"26,000",2016,Jim Lico,FTV,Tier 1b - Publicly Traded - Other,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,9,"7,300.00",2019,https://www.fortive.com/,"See Gordian, Accruent",n/a,n/a,https://investors.fortive.com/sites/fortive.investorhq.businesswire.com/files/doc_library/file/FOR-AR2019_single.pdf,https://investors.fortive.com/press-release/acquisitions-divestitures/fortive-acquire-gordian-approximately-775-million-cash,230
Graybar Electric Company,Y,MO,"8,789",1869,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,","7,202.50",2018,https://www.graybar.com/,FL DOC Spending,n/a,n/a,PrivCo (www.privco.com),n/a,231
Dover,Y,IL,"29,000",1955,Richard J. Tobin,DOV,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Food & Commissary,Kitchen Equipment,n/a,n/a,8,"7,136.40",2019,https://www.dovercorporation.com/,See Unified Brands,n/a,n/a,FactSet,https://www.dovercorporation.com/our-markets/refrigeration-and-food-equipment,232
Avery Dennison,Y,CA,"30,000",1977,Mitchell R. Butier,AVY,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,Y,7,"7,070.00",2019,http://www.averydennison.com/,https://www.nationalcia.org/corporate-members,n/a,https://www.nationalcia.org/corporate-members,FactSet,n/a,233
Crop Production Services,Y,CO,350,1859,n/a,NTR,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Programs & Labor,Vocation/Industries (Prison Labor),n/a,Y,7,"7,000.00",2010,http://www.cpsagu.com/,OH DRC Spending,n/a,See corrections source,PrivCo (www.privco.com),https://www.nutrien.com/locations/crop-production-services-inc,234
Harris Corp,Y,FL,"1,700",1895,William M. Brown,HRS,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Equipment,Y,n/a,13,"6,801.00",2019,https://www.harris.com/,https://www.prnewswire.com/news-releases/securus-casts-wider-net-on-contraband-cell-phones-through-exclusive-partnership-with-harris-corporation-300292348.html,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,FactSet,https://www.apcointl.org/commercial-community/corporate-partner-program.html,235
L3Harris Technologies,Y,FL,"50,000",1895,Bill Brown,HRS,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Equipment,n/a,n/a,9,"6,801.00",2019,https://www.l3harris.com/,https://www.sds.l3t.com/applications/correctional-facility-security.htm,n/a,n/a,FactSet,n/a,236
SNC-Lavalin and Atkins,Y,Canada,"52,488",1911,Uwe Krueger,SNC-CA,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Operations & Management,"Procurement, Contracting, & Other Admin Services",n/a,n/a,10,"6,736.70",2019,http://www.snclavalin.com/en/,See Faithful+Gould,n/a,n/a,FactSet,https://www.fgould.com/americas/articles/snc-lavalin-completes-acquisition-ws-atkins/,237
Booz Allen Hamilton,Y,VA,"23,000",1914,Horacio D. Rozanski,BAH,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Operations & Management,"Procurement, Contracting, & Other Admin Services",Y,n/a,12,"6,704.00",2019,https://www.boozallen.com/,https://www.boozallen.com/markets/homeland-security-and-law-enforcement.html,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,FactSet,http://www.ijis.org/?page=Member_List,238
Daiwa Securities,Y,Japan,"14,791",1902,Hibino Takashi,8601-JP,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,"Construction, Equipment, & Acquisition Financing",n/a,n/a,9,"6,699.10",2019,http://www.daiwa-grp.jp/english/,See DCS Advisory,n/a,n/a,FactSet,n/a,239
Fortis,Y,Canada,"9,000",1885,Ashutosh Raghuvanshi,FTS,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Utility/Energy,n/a,n/a,6,"6,626.40",2019,https://www.fortisinc.com/,See Central Hudson Gas & Electric,n/a,n/a,FactSet,https://www.fortisinc.com/news-and-media/details/fortis-inc-files-2019-year-end-disclosure-documents,240
ABM Industries ,Y,NY,"140,000",1909,Scott Salmirs,ABM,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Maintenance Services,Y,n/a,9,"6,498.60",2019,https://www.abm.com/,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,FactSet,n/a,241
Citizens Financial Group (dba Citizens Bank),Y,RI,"17,600",1828,Bruce Van Saun,CFG,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,"Construction, Equipment, & Acquisition Financing",n/a,n/a,12,"6,491.00",2019,https://www.citizensbank.com/,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,n/a,n/a,FactSet,n/a,242
Key Corp,Y,OH,"18,415",1825,Beth Mooney,KEY,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Financial Services,Agency Payment Processing,n/a,Y,10,"6,400.00",2019,https://www.key.com,NYS DOCCS Spending,n/a,See corrections source,FactSet,n/a,243
SAIC,Y,VA,"15,000",1969,Nazzic Keene,SAIC,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,9,"6,379.00",2020,http://www.saic.com/,n/a,https://mijente.net/wp-content/uploads/2018/10/WHO%E2%80%99S-BEHIND-ICE_-The-Tech-and-Data-Companies-Fueling-Deportations-_v1.pdf,n/a,FactSet,n/a,244
Celanese,Y,TX,"7,592",1918,Lori J. Ryerkerk,CE,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,Y,7,"6,297.00",2019,https://www.celanese.com/,See SO.F.TER.,n/a,See corrections source,FactSet,http://www.softergroup.com/en/celanese_to_acquire_softer_group,245
HD Supply,Y,GA,"11,000",1974,Joseph J. DeAngelo,HDS,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Construction & Maintenance,Maintenance Services,n/a,n/a,8,"6,146.00",2020,https://www.hdsupply.com/,TDCJ Spending,n/a,n/a,FactSet,n/a,246
NetApp,Y,CA,"10,300",1992,George Kurian,NTAP,Tier 1b - Publicly Traded - Other,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,9,"6,146.00",2019,https://www.netapp.com/us/index.aspx,n/a,https://mijente.net/wp-content/uploads/2018/10/WHO%E2%80%99S-BEHIND-ICE_-The-Tech-and-Data-Companies-Fueling-Deportations-_v1.pdf,n/a,FactSet,n/a,247
Guggenheim Partners,Y,NY,"3,200",2000,n/a,n/a,Tier 2 - Investment Firm-Owned,Investor,Equity/Debt Investor,n/a,n/a,12,"6,100.00",2018,https://www.guggenheimpartners.com/,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,n/a,n/a,PrivCo (www.privco.com),n/a,248
Simplot Grower Solutions,Y,ID,"10,000",1929,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,","6,000.00",2018,http://www.simplot.com/,TDCJ Spending,n/a,n/a,PrivCo (www.privco.com),n/a,249
Avangrid,Y,NY,"6,000",1997,n/a,IBE-ES,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Utility/Energy,n/a,n/a,6,"5,963.00",2017,https://www.avangridnetworks.com/,See New York State Electric and Gas (NYSEG),n/a,n/a,https://www.sec.gov/Archives/edgar/data/1634997/000156459018006767/agr-10k_20171231.htm,n/a,250
Regions Financial Group (dba Regions Bank),Y,AL,"21,714",1971,John Turner,RF,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,"Construction, Equipment, & Acquisition Financing",n/a,n/a,12,"5,952.00",2019,https://www.regions.com/,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,n/a,n/a,FactSet,n/a,251
Thomson Reuters (dba West Publishing/Westlaw),Y,Canada,"45,000",2008,James C. Smith,TRI,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Y,n/a,8,"5,906.00",2019,https://www.thomsonreuters.com/,http://www.ijis.org/?page=Member_List,https://www.nbcnews.com/tech/tech-news/tech-companies-quietly-work-ice-border-crisis-continues-n885176?cid=sm_npd_nn_tw_ma,n/a,FactSet,https://repository.uchastings.edu/cgi/viewcontent.cgi?article=2386&context=faculty_scholarship,252
Allied Universal,Y,PA,"210,000",1957,Steve Jones,n/a,Tier 2 - Investment Firm-Owned,Equipment,Security Technology,n/a,n/a,12,"5,800.00",2018,http://www.aus.com/,See Securadyne Systems,n/a,n/a,PrivCo (www.privco.com),https://www.ocbj.com/news/2019/apr/09/allied-universal-buys-systems-integrator/,253
