Company,Active Brand (Y/N),Headquarters,Employees,Founded,Last Acquired,Lead Executive,Owner/Major Investor,Parent Company,Parent Stock Ticker,Parent Public Exposure,Primary Sector,Primary Sub-sector,Secondary Sector,Secondary Sub-sector,Immigration Detention Involvement,Supports Prison Labor,"Harm Score
(3-15)",Divestment (Y/N),Annual Revenues (Mn),Revenue Fiscal Year," Prison Industry Revenue Only
(Y/N)",Political Spending (Cumalative Since 2010),Notes,Website,Corrections,Immigration Detention,Prison Labor,Financials,Other 
Steck Vaughn Publishing,N,TX,,1993,1997,n/a,n/a,Houghton Mifflin Harcourt,HMHC,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Programs & Labor,"Education Services, Materials, & Technology",n/a,n/a,n/a,n/a,6,n/a,,,N,n/a,Acquired by Harcourt in 1997 as part of National Education Corp for $800 M,n/a,https://forms.hmhco.com/virtual-catalog/publication/e9a6dc6a#1,n/a,n/a,n/a,https://www.nytimes.com/1997/09/09/business/harcourt-to-buy-18-of-steck-vaughn-for-42.8-million.html
Steel Ceilings,Y,OH,,1993,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,https://steelceilings.com/,https://aja.multiview.com/,n/a,n/a,n/a,n/a
Steelcell,Y,GA,35,2001,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,$15.0,2018,N,n/a,n/a,http://www.steelcell.com/,See website,n/a,n/a,PrivCo (www.privco.com),n/a
Steele Canvas Basket Corp,Y,MA,,1921,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.steele-canvas.com/,http://correctionsmarketplace.com/,n/a,n/a,n/a,n/a
Stellar Marketing,Y,FL,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Programs & Labor,Vocation/Industries (Prison Labor),n/a,Y,"n/a,",n/a,,,N,n/a,n/a,https://stellarmarketingpro.com/,OH DRC Spending,n/a,See corrections source,n/a,n/a
Stellar Services,Y,WI,,2001,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Commissary,Data & Information Systems,Corrections Data Systems,n/a,n/a,"n/a,",n/a,,,Y,n/a,n/a,http://www.stellar-services.net/index.php,See website,n/a,n/a,n/a,n/a
Stephen A Laser Associates,Y,IL,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Operations & Management,"Procurement, Contracting, & Other Admin Services",n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.laserassociates.net/,http://correctionsmarketplace.com/,n/a,n/a,n/a,https://www.linkedin.com/company/stephen-a.-laser-associates/
Stephens Consolidated South,Y,TX,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,n/a,TDCJ Spending,n/a,n/a,n/a,n/a
Stero,Y,CA,,1945,1999,n/a,n/a,Illinois Tool Works,ITW,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Food & Commissary,Kitchen Equipment,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,9,n/a,,,N,n/a,Acquired by ITW in 1999,https://www.stero.com/,https://www.stero.com/industry/,n/a,n/a,n/a,http://www.pressdemocrat.com/news/2311990-181/stero-company-to-shutter-in
Steward Steel,Y,MO,130,1950,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,$36.0,2018,N,n/a,n/a,http://www.stewardsteel.com/,http://www.stewardsteeldoors.com/Security_and_Detention/security_and_detention.html,n/a,n/a,PrivCo (www.privco.com),n/a
Stewart & Stevenson,Y,TX,,1902,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Construction & Maintenance,Maintenance Services,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.stewartandstevenson.com/,TDCJ Spending,n/a,n/a,n/a,n/a
Stewart Distributions,Y,GA,,1922,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Commissary,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,https://stewartdistribution.com/,See website,n/a,n/a,n/a,n/a
STG International,Y,VA,920,1997,n/a,Michelle S. Lee,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Personnel,Third Party Staffing,n/a,n/a,Y,n/a,"n/a,",n/a,$160.0,2018,N,n/a,n/a,http://www.stginternational.com/,http://www.stginternational.com/detention-health,http://www.stginternational.com/detention-health,n/a,PrivCo (www.privco.com),n/a
Stiles Machinery,Y,MI,290,1965,2014,n/a,n/a,Homag,HG1-DE,Tier 1b - Publicly Traded - Other,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Construction & Maintenance,Maintenance Services,n/a,n/a,7,n/a,$158.0,2013,N,n/a,Acquired by Homag in 2014; 2013 financials prior to acquisition,https://www.stilesmachinery.com/,TDCJ Spending,n/a,n/a,https://www.woodworkingnetwork.com/wood-market-trends/woodworking-industry-news/production-woodworking-news/Stiles-Machinery-Acquired-by-Homag-Group-243318131.html,n/a
Stillwater Milling,Y,OK,160,1891,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,$49.0,2018,N,n/a,n/a,http://www.stillwatermill.com/,http://doc.ok.gov/Websites/doc/images/Documents/Administration/General%20Services/Contracts%20and%20Acquisitions/1310004180-T.pdf,n/a,n/a,PrivCo (www.privco.com),n/a
Stonewall Solutions,Y,TN,,2014,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Personnel,Staff Training,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,https://www.stonewall-solutions.com/,http://www.ijis.org/?page=Member_List,n/a,n/a,n/a,n/a
STOPware,Y,CA,,1997,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,https://stopware.com/,http://correctionsmarketplace.com/,n/a,n/a,n/a,n/a
Stormin Norman's Optical Supplies,Y,FL,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Programs & Labor,Vocation/Industries (Prison Labor),n/a,Y,"n/a,",n/a,,,N,n/a,n/a,http://www.storminnormans.com/,https://www.nationalcia.org/corporate-members,n/a,See corrections source,n/a,n/a
Strategic Enterprise Solutions,Y,VA,170,2003,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,n/a,n/a,Y,n/a,"n/a,",n/a,$28.0,2018,N,n/a,n/a,http://www.sesolutions.com/,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo (www.privco.com),n/a
Strategic Response Initiatives,Y,NY,,2005,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Operations & Management,"Procurement, Contracting, & Other Admin Services",n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://23.235.199.84/~wwwsribob/,http://23.235.199.84/~wwwsribob/state/2017/01/02/207/,n/a,n/a,n/a,n/a
Strato Communications,Y,CA,,2011,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.stratocommunications.com/,California Spending Data - 2018,n/a,n/a,n/a,n/a
Stratton Hats,Y,IL,80,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,$43.0,2018,N,n/a,n/a,https://www.strattonhats.com/,http://www.southernpoliceequipment.com/shop/default.asp?h=b&b=54,n/a,n/a,PrivCo (www.privco.com),n/a
Stratus Security Management ,Y,MI,,2001,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Personnel,Staff Training,n/a,n/a,Y,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.stratussecurity.net/,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,n/a,n/a
Streamlight,Y,PA,320,1973,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,$85.0,2018,N,n/a,n/a,http://www.streamlight.com/,See Monsanto,n/a,n/a,PrivCo (www.privco.com),n/a
StreeTime Technologies,Y,CT,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Healthcare,Substance Abuse Treatment,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.streetimetechnologies.com/,http://www.streetimetechnologies.com/aboutstreetime.html,n/a,n/a,n/a,n/a
Streets2Schools,Y,CA,,2000,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Programs & Labor,Rehab Programming,Personnel,Staff Training,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://streets2schools.com/,http://www.cppca.org/general/our-sponsors,n/a,n/a,n/a,n/a
Streit Group,Y,France,641,1992,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Transportation,Agency Transportation,Transportation,Prison Transportation,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.armored-cars.com/,See website,n/a,n/a,PrivCo (www.privco.com),n/a
Strike Industries,Y,CA,,2011,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,https://www.strikeindustries.com/shop/,https://aja.multiview.com/,n/a,n/a,n/a,n/a
Strollo Architects,Y,OH,,1956,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Architecture & Engineerging,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.strolloarchitects.com/,http://www.strolloarchitects.com/category/corrections/,n/a,n/a,n/a,n/a
Strong Products,Y,MA,,1932,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.strongleather.com/,http://www.southernpoliceequipment.com/shop/default.asp?h=b&b=28,n/a,n/a,n/a,n/a
Stun-Cuff,Y,CO,,2004,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,n/a,n/a,n/a,n/a,"n/a,",n/a,,,Y,n/a,n/a,http://www.stun-cuff.com/,See website,n/a,n/a,n/a,n/a
Stur-D,Y,ND,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Programs & Labor,Vocation/Industries (Prison Labor),n/a,n/a,n/a,Y,"n/a,",n/a,,,N,n/a,n/a,www.stur-d.com,https://www.roughriderindustries.com/partners-retailers.html,n/a,See corrections source,n/a,n/a
"Sturm, Ruger & Co",Y,CT,"1,750",1949,n/a,Christopher J. Killoy,n/a,n/a,RGR,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Equipment,n/a,n/a,n/a,n/a,15,Y,$410.5,2019,N,n/a,Chairman is a CoreCivic board member,http://www.ruger-firearms.com/,See website,n/a,n/a,FactSet,n/a
STV Architects,Y,NY,"2,200",1912,n/a,n/a,n/a,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Construction & Maintenance,Architecture & Engineerging,n/a,n/a,n/a,n/a,"n/a,",n/a,$518.5,2018,N,n/a,n/a,http://www.stvinc.com/,http://www.stvinc.com/markets-we-serve,n/a,n/a,PrivCo (www.privco.com),n/a
Suburban Propane,Y,NJ,"3,221",1928,n/a,Michael A. Stivala,n/a,n/a,SPH,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Utility/Energy,n/a,n/a,n/a,n/a,6,n/a,"$1,267.7",2019,N,n/a,n/a,https://www.suburbanpropane.com/,FL DOC Spending,n/a,n/a,FactSet,n/a
Success Tech Management And Services,Y,VA,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,n/a,n/a,Y,n/a,"n/a,",n/a,,,N,n/a,n/a,n/a,n/a,GovSpend,n/a,n/a,n/a
Sudano's Produce,Y,MD,,2002,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Prison Food,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,n/a,FBOP Spending,n/a,n/a,n/a,https://www.facebook.com/Sudanos-Produce-LLC-322535097769209/
Suidae Technology,Y,IN,,1986,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://suidae.tech/,http://www.tdcj.texas.gov/divisions/finance/finance_contracts_contracts_current.html,n/a,n/a,n/a,n/a
Sulzer,Y,Switzerland,"15,500",1834,n/a,George Poux-Guillaume,n/a,n/a,SUN-CH,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Construction & Maintenance,Maintenance Services,n/a,n/a,n/a,n/a,11,Y,"$3,848.0",2019,N,n/a,Financials converted from CHF,https://www.sulzer.com/en,See JWC Environmental,n/a,n/a,FactSet,https://www.jwce.com/blog/2018/01/11/sulzer-completes-acquisition-jwc-environmental/
Summit Consultants,Y,TX,,1996,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Architecture & Engineerging,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.summitmep.com/,http://www.tjjd.texas.gov/procurement/home/index?path=/Austin%20Office%20Puchase%20Orders,n/a,n/a,n/a,n/a
Summit Crane,Y,CT,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://summitcraneco.com/,California Spending Data - 2018,n/a,n/a,n/a,n/a
Summit Energy Services,N,KY,850,1991,2011,n/a,n/a,Schneider Electric,SU-FR,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Utility/Energy,n/a,n/a,n/a,n/a,6,n/a,$65.0,2011,N,n/a,Acquired by Schneider Electric in 2011 for $268 M,http://www.summitenergy.com/,OH DRC Spending,n/a,n/a,https://www.greenbiz.com/news/2011/03/25/schneiders-268m-acquisition-summit-energy-tightens-eeca-market,http://www2.schneider-electric.com/sites/corporate/en/products-services/former-brands/summit/summit.page
Summit Food Service,Y,NM,,1969,2013,n/a,n/a,Elior Group,ELIOR-FR,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Food & Commissary,Prison Food,Food & Commissary,Commissary,n/a,Y,11,Y,,,Y,n/a,Acquired by Elior Group as part of A'viands/TrustHouse Services Group in 2015,http://summitfoodservice.com/,http://register.aca.org/DOCS/Conference/COC2017/FINAL%20St%20Louis%20PROGRAM%20BOOK.pdf,n/a,Adult prison food service provider,n/a,http://aviands.com/about-us/
Summit Integration Systems,Y,AZ,,1990,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Technology,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.summit-sys.com/,http://doc.ok.gov/closed-bids,n/a,n/a,n/a,n/a
Summus Industries,Y,TX,28,1997,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,$96.9,2018,N,n/a,n/a,http://summusindustries.com/about-summus-industries-0,http://www.dps.texas.gov/contractreprt/,n/a,n/a,PrivCo (www.privco.com),n/a
Sun Products Corporation,Y,CT,"2,000",1975,2016,n/a,n/a,Henkel,HEN3-DE,Tier 1b - Publicly Traded - Other,Food & Commissary,Commissary,n/a,n/a,n/a,n/a,7,n/a,"$1,600.0",2016,N,n/a,Acquired by Henkel in 2016 for $3.6 B,https://www.sundetergent.com/,TDCJ Spending,n/a,n/a,https://www.reuters.com/article/us-sun-products-m-a-henkel-kgaa/henkel-buys-laundry-care-firm-sun-products-in-3-6-billion-deal-idUSKCN0ZA0KA,https://www.henkel-northamerica.com/brands-and-businesses/laundry-and-home-care/the-sun-products-corporation
Sunbelt Staffing,Y,FL,,1988,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Personnel,Third Party Staffing,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.sunbeltstaffing.com/,NYS DOCCS Spending,n/a,n/a,n/a,n/a
Sunburst Chemicals,Y,MN,120,1920,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,Y,"n/a,",n/a,$59.0,2018,N,n/a,n/a,http://www.sunburstchemicals.com,http://www.sunburstchemicals.com/corrections/,n/a,https://www.nationalcia.org/corporate-members,PrivCo (www.privco.com),n/a
SundRy Public Safety,Y,RI,,1989,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.sundry.com/sundrypublicsafety2014/,See website,n/a,n/a,n/a,n/a
"Sundt Companies, The",Y,AZ,915,1890,n/a,n/a,n/a,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Construction & Maintenance,Construction,n/a,n/a,n/a,n/a,"n/a,",n/a,"$1,430.0",2018,N,n/a,n/a,http://www.sundt.com,http://www.sundt.com/markets/government-construction/,n/a,n/a,PrivCo (www.privco.com),n/a
Sunrise Banks,Y,MN,,1962,n/a,n/a,n/a,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Financial Services,Cash & Release Cards,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,https://sunrisebanks.com/,https://www.prisonlegalnews.org/news/2018/jan/31/hrdc-files-class-action-suit-over-cdcr-debit-release-cards/,n/a,n/a,n/a,n/a
Sunrise Juice,Y,Canada,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Prison Food,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://sunrisejuices.com/,http://www.acfsa.org/marketplace/marketplaceSearch.php?mCritQ=2,n/a,n/a,n/a,n/a
SunTrust,Y,GA,"23,785",1985,n/a,"William H. Rogers, Jr. ",n/a,n/a,n/a,Tier 2 - Investment Firm-Owned,Investor,"Construction, Equipment, & Acquisition Financing",n/a,n/a,Y,n/a,9,n/a,"$9,213.0",2018,N,n/a,n/a,https://www.suntrust.com/,https://www.inthepublicinterest.org/wp-content/uploads/ITPI_BanksPrivatePrisonCompanies_Nov2016.pdf,https://news.littlesis.org/2018/06/21/who-is-profiting-from-incarcerating-immigrant-families/,n/a,http://s2.q4cdn.com/438932305/files/doc_financials/2018/annual/12.31.18-Form-10-K-REPORT-r1778_FINAL.PDF,n/a
SuperCom,Y,Israel,246,1988,n/a,Arie Trabelsi,n/a,n/a,SPCB,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Community Corrections,Electronic Monitoring,n/a,n/a,n/a,n/a,13,Y,$23.0,2018,N,n/a,n/a,http://www.supercom.com/,http://www.supercom.com/hls,n/a,n/a,FactSet,n/a
Supergrit Abrasives,Y,PA,15,1978,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,$3.2,2018,N,n/a,n/a,http://www.supergrit.com/,http://doc.ok.gov/Websites/doc/images/Documents/Administration/General%20Services/Contracts%20and%20Acquisitions/1310003961-T.pdf,n/a,n/a,PrivCo (www.privco.com),n/a
Superion (formerly SunGard Public Sector),Y,FL,,1981,n/a,n/a,n/a,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Data & Information Systems,Corrections Data Systems,Equipment,IT & Communcations Infrastructure & Service,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.superion.com/,https://www.superion.com/public-safety/jail-management-system/,n/a,n/a,PrivCo (www.privco.com),n/a
Superior Foods,Y,MI,200,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Prison Food,n/a,n/a,n/a,n/a,"n/a,",n/a,$91.0,2018,N,n/a,n/a,http://www.superiorfoods.co,https://www.floorplangenie.com/Events/fpg_ACFSA/ACFSA2017/Public/fpg.aspx,n/a,n/a,PrivCo (www.privco.com),n/a
Superior Industrial Supply & Services,Y,OH,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.siss.cc/home.htm,OH DRC Spending,n/a,n/a,n/a,n/a
Superior Mirror,Y,NY,,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,https://superiormirror.com/,https://aja.multiview.com/,n/a,n/a,n/a,n/a
Superior Plus,Y,Canada,"3,500",1996,n/a,Luc Desjardin,n/a,n/a,SPB-CA,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Utility/Energy,Construction & Maintenance,Maintenance Services,n/a,n/a,6,n/a,"$2,019.8",2019,N,n/a,Financials converted from CAD,http://www.superiorplus.com/,NYS DOCCS Spending,n/a,n/a,FactSet,n/a
Superior Produce,Y,MI,,1918,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Prison Food,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,https://superior-sales.com/,California Spending Data - 2018,n/a,n/a,n/a,n/a
Superior Silk Screen,Y,ND,,1979,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Programs & Labor,Vocation/Industries (Prison Labor),n/a,n/a,n/a,Y,"n/a,",n/a,,,N,n/a,n/a,www.superiorsilkscreen.com,https://www.roughriderindustries.com/partners-retailers.html,n/a,See corrections source,n/a,n/a
Supervised Probation Services,Y,MO,,1993,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Community Corrections,"Probation, Parole, & Other Supervision",Community Corrections,Electronic Monitoring,n/a,n/a,"n/a,",n/a,,,Y,n/a,n/a,http://www.supervisedprobationservices.com/,https://www.hrw.org/report/2018/02/20/set-fail/impact-offender-funded-private-probation-poor,n/a,n/a,n/a,n/a
Supervsion Services,Y,GA,,1995,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Community Corrections,"Probation, Parole, & Other Supervision",n/a,n/a,n/a,n/a,"n/a,",n/a,,,Y,n/a,n/a,http://www.supervisionservicesinc.com/,See website,n/a,n/a,n/a,n/a
Supplemental Health Care (SHC Services),Y,UT,222,1984,2016,Lesa Francis,"Vistria Group, The",n/a,n/a,Tier 2 - Investment Firm-Owned,Personnel,Third Party Staffing,n/a,n/a,n/a,n/a,9,n/a,$329.0,2017,N,n/a,Acquired by The Vistria Group in 2016,http://www.supplementalhealthcare.com/,NYS DOCCS Spending,n/a,n/a,PrivCo (www.privco.com),http://www.supplementalhealthcare.com/The-Vistria-Group-Completes-Acquisition-Of-Supplemental-Health-Care
"Supply Station, The ",Y,CA,,1979,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.supplystation.com/,California Spending Data - 2018,n/a,n/a,n/a,n/a
SureID (dba Fortior),Y,OR,,2001,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Technology,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,https://www.sureid.com/,http://www.nlets.org/partnerships/strategic-partner-list,n/a,n/a,n/a,n/a
Surway Technology,Y,China,,1999,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Technology,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.surwaytech.com/,http://ajaproductserviceresource.com/,n/a,n/a,n/a,n/a
Sverica Capital,Y,CA,16,2001,n/a,David Finley,n/a,n/a,n/a,Tier 2 - Investment Firm-Owned,Investor,Equity/Debt Investor,n/a,n/a,n/a,n/a,12,Y,n/a,n/a,N,n/a,n/a,https://sverica.com/,See Syscon Justice Systems,n/a,n/a,n/a,https://sverica.com/news-article/sverica-international-announces-its-acquisition-of-syscon-justice-systems/
Swan Fence,Y,CA,,1988,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,https://www.swanfence.com/,https://aja.multiview.com/,n/a,n/a,n/a,n/a
Swank Motion Pictures,Y,MO,210,1937,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Programs & Labor,"Education Services, Materials, & Technology",n/a,n/a,n/a,n/a,"n/a,",n/a,$82.0,2018,N,n/a,n/a,https://www.swank.com/,https://www.swank.com/correctional/,n/a,n/a,PrivCo (www.privco.com),n/a
Sweeper Metal Fabricators,Y,OK,80,n/a,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,n/a,n/a,"n/a,",n/a,$12.0,2018,Y,n/a,n/a,http://www.sweepermetal.com/,http://www.sweepermetal.com/about/,n/a,n/a,PrivCo (www.privco.com),n/a
Swintec,Y,NJ,40,1986,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Other,n/a,n/a,n/a,n/a,"n/a,",n/a,,,N,n/a,n/a,http://www.swintec.com/,See website,n/a,n/a,n/a,https://www.newyorker.com/books/page-turner/how-one-of-the-last-american-typewriter-companies-survives
Sydaptic,Y,TX,,1998,n/a,n/a,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Telecom,Prison Communications,n/a,n/a,n/a,n/a,"n/a,",n/a,,,Y,n/a,n/a,http://www.jailcontrols.com/,See website,n/a,n/a,n/a,n/a
